season,seasonType,week,poll,rank,school,points
2013,regular,1,AP Top 25,1,Alabama,0
2013,regular,1,AP Top 25,2,Ohio State,0
2013,regular,1,AP Top 25,3,Oregon,0
2013,regular,1,AP Top 25,4,Stanford,0
2013,regular,1,AP Top 25,5,Georgia,0
2013,regular,1,AP Top 25,6,South Carolina,0
2013,regular,1,AP Top 25,7,Texas A&M,0
2013,regular,1,AP Top 25,8,Clemson,0
2013,regular,1,AP Top 25,9,Louisville,0
2013,regular,1,AP Top 25,10,Florida,0
2013,regular,1,AP Top 25,11,Florida State,0
2013,regular,1,AP Top 25,12,LSU,0
2013,regular,1,AP Top 25,13,Oklahoma State,0
2013,regular,1,AP Top 25,14,Notre Dame,0
2013,regular,1,AP Top 25,15,Texas,0
2013,regular,1,AP Top 25,16,Oklahoma,0
2013,regular,1,AP Top 25,17,Michigan,0
2013,regular,1,AP Top 25,18,Nebraska,0
2013,regular,1,AP Top 25,19,Boise State,0
2013,regular,1,AP Top 25,20,TCU,0
2013,regular,1,AP Top 25,21,UCLA,0
2013,regular,1,AP Top 25,22,Northwestern,0
2013,regular,1,AP Top 25,23,Wisconsin,0
2013,regular,1,AP Top 25,24,USC,0
2013,regular,1,AP Top 25,25,Oregon State,0
2013,regular,1,Coaches Poll,1,Alabama,1545
2013,regular,1,Coaches Poll,2,Ohio State,1427
2013,regular,1,Coaches Poll,3,Oregon,1397
2013,regular,1,Coaches Poll,4,Stanford,1262
2013,regular,1,Coaches Poll,5,Georgia,1250
2013,regular,1,Coaches Poll,6,Texas A&M,1215
2013,regular,1,Coaches Poll,7,South Carolina,1136
2013,regular,1,Coaches Poll,8,Clemson,1047
2013,regular,1,Coaches Poll,9,Louisville,1010
2013,regular,1,Coaches Poll,10,Florida,930
2013,regular,1,Coaches Poll,11,Notre Dame,872
2013,regular,1,Coaches Poll,12,Florida State,844
2013,regular,1,Coaches Poll,13,LSU,797
2013,regular,1,Coaches Poll,14,Oklahoma State,726
2013,regular,1,Coaches Poll,15,Texas,622
2013,regular,1,Coaches Poll,16,Oklahoma,620
2013,regular,1,Coaches Poll,17,Michigan,589
2013,regular,1,Coaches Poll,18,Nebraska,426
2013,regular,1,Coaches Poll,19,Boise State,420
2013,regular,1,Coaches Poll,20,TCU,400
