season,week,gameId,homeTeam,awayTeam,spread,homeWinProb
2013,1,332432005,Air Force,Colgate,-31.5,0.985
2013,1,332420012,Arizona,Northern Arizona,-35,0.992
2013,1,332430008,Arkansas,Louisiana,-14,0.833
2013,1,332432032,Arkansas State,Arkansas-Pine Bluff,-17.5,0.886
2013,1,332420349,Army,Morgan State,-31,0.984
2013,1,332430002,Auburn,Washington State,-13.5,0.824
2013,1,332412050,Ball State,Illinois State,-30.5,0.982
2013,1,332430239,Baylor,Wofford,-28,0.973
2013,1,332430103,Boston College,Villanova,-19,0.905
2013,1,332410189,Bowling Green,Tulsa,3,0.418
2013,1,332430025,California,Northwestern,8.5,0.279
2013,1,332432132,Cincinnati,Purdue,-14,0.833
2013,1,332430228,Clemson,Georgia,-2,0.555
2013,1,332440036,Colorado State,Colorado,1.5,0.459
2013,1,332410041,Connecticut,Towson,-20,0.916
2013,1,332430150,Duke,North Carolina Central,-35,0.992
2013,1,332430151,East Carolina,Old Dominion,-14.5,0.841
2013,1,332432199,Eastern Michigan,Howard,-13,0.815
2013,1,332430057,Florida,Toledo,-21,0.926
2013,1,332410278,Fresno State,Rutgers,-8.5,0.721
2013,1,332422247,Georgia State,Samford,7,0.315
2013,1,332430059,Georgia Tech,Elon,-47,0.999
2013,1,332410062,Hawai'i,USC,21.5,0.069
2013,1,332420248,Houston,Southern,-38.5,0.996
2013,1,332430356,Illinois,Southern Illinois,-24,0.951
2013,1,332410084,Indiana,Indiana State,-30.5,0.982
2013,1,332432294,Iowa,Northern Illinois,-6.5,0.673
2013,1,332430066,Iowa State,Northern Iowa,-5.5,0.648
2013,1,332422306,Kansas State,North Dakota State,-14.5,0.841
2013,1,332412309,Kent State,Liberty,2,0.445
2013,1,332440097,Louisville,Ohio,-16,0.865
2013,1,332430276,Marshall,Miami (OH),-13,0.815
2013,1,332430120,Maryland,Florida International,-15,0.85
2013,1,332422390,Miami,Florida Atlantic,-31,0.984
2013,1,332430130,Michigan,Central Michigan,-26,0.964
2013,1,332420127,Michigan State,Western Michigan,-24,0.951
2013,1,332412393,Middle Tennessee,Western Carolina,-12,0.796
2013,1,332410135,Minnesota,UNLV,-17,0.879
2013,1,332430142,Missouri,Murray State,-38,0.996
2013,1,332430152,NC State,Louisiana Tech,-10.5,0.766
2013,1,332430158,Nebraska,Wyoming,-21.5,0.931
2013,1,332430167,New Mexico,UT San Antonio,-6,0.66
2013,1,332430249,North Texas,Idaho,-17,0.879
2013,1,332430087,Notre Dame,Temple,-24.5,0.954
2013,1,332430194,Ohio State,Buffalo,-33.5,0.99
2013,1,332430201,Oklahoma,Louisiana Monroe,-23,0.944
2013,1,332430197,Oklahoma State,Mississippi State,-13,0.815
2013,1,332432483,Oregon,Nicholls,-58.5,1
2013,1,332430204,Oregon State,Eastern Washington,-28,0.973
2013,1,332430213,Penn State,Syracuse,5,0.365
2013,1,332450221,Pittsburgh,Florida State,10.5,0.234
2013,1,332430021,San Diego State,Eastern Illinois,-19,0.905
2013,1,332410023,San José State,Sacramento State,-33,0.989
2013,1,332422567,SMU,Texas Tech,2.5,0.432
2013,1,332410006,South Alabama,Southern Utah,-41,0.998
2013,1,332412579,South Carolina,North Carolina,-11.5,0.786
2013,1,332432572,Southern Mississippi,Texas State,-9.5,0.744
2013,1,332430058,South Florida,McNeese,-20.5,0.921
2013,1,332432628,TCU,LSU,5,0.365
2013,1,332432633,Tennessee,Austin Peay,-51,1
